品牌,SKU,商品名称,店铺名称,原价,现价,销售量,评论,一级分类,二级分类,三级分类,促销信息,weight_g,has_coupon,sales_num
良品铺子 - 坚果零食,10214965035305,良品铺子坚果零食高端礼盒大礼包送人走亲戚年货送长辈健康礼物品 【龙跃凤鸣】买一送一共24款（实发2箱共1816g）,良品铺子零食旗舰店,139.6,139.6,100,27,休闲食品,坚果炒货,坚果礼盒,"['新品', '免息账期', '每139减20', '包邮']",1816.0,0,100
良品铺子 - 坚果零食,10217269619755,良品铺子纯坚果礼盒2232g零食大礼包开心果核桃送礼企业团购礼盒 2232g18袋纯坚果含松子,暖瑶食品店19店店,286.5,286.5,100,0,休闲食品,坚果炒货,坚果礼盒,"['免息账期', '券满29减1', '包邮']",2232.0,1,100
良品铺子 - 坚果零食,10209768502013,良品铺子纯坚果每日坚果750g/30包孕妇健康送礼混合果仁独立小包 【口味更丰富】每日缤纷坚果750g/(5坚果+4果干),与品休闲食品店,179.46,179.46,100,0,休闲食品,坚果炒货,每日坚果,"['京东物流', '免息账期', '包邮']",750.0,0,100
良品铺子 - 坚果零食,10092378407641,良品铺子良品铺坚果礼盒装送礼年货礼品送人礼物坚果零食大礼包团购优惠 【良品铺子】 元气礼1235g,佳贝艾食品专营店,238.0,238.0,100,2,休闲食品,坚果炒货,坚果礼盒,"['明日达', '免息账期', '包邮']",1235.0,0,100
良品铺子 - 坚果零食,10217585570049,良品铺子 蟹黄味腰果60g果仁坚果每日干果零食解馋小吃 蟹黄味腰果60g*5袋,一鸣很忙零食店,55.8,55.8,100,0,休闲食品,坚果炒货,腰果,"['免息账期', '券满16减3', '券满99减5', '包邮']",60.0,1,100
良品铺子 - 坚果零食,10214965035306,良品铺子坚果零食高端礼盒大礼包送人走亲戚年货送长辈健康礼物品 【龙跃凤鸣】买一送一共26款（实发2箱共1936g）,良品铺子零食旗舰店,159.6,159.6,100,27,休闲食品,坚果炒货,坚果礼盒,"['新品', '免息账期', '每159减20', '包邮']",1936.0,0,100
良品铺子 - 坚果零食,10193274518055,良品铺子零食坚果礼盒年货炒货每日坚果猪肉脯休闲食品企业团购送 锦绣礼礼盒2746g,禾福食品店,295.87,295.87,100,0,休闲食品,坚果炒货,坚果礼盒,"['免息账期', '每200减30', '包邮']",2746.0,0,100
良品铺子 - 坚果零食,10114976593324,良品铺子坚果礼盒干果零食送长辈高端礼品物中秋礼盒罐装 甄选6罐大果/3.2斤【良品臻荟礼,顶好优选经营部,372.0,372.0,100,2,休闲食品,坚果炒货,坚果礼盒,"['免息账期', '券满245减15', '券满560减40', '包邮']",,1,100
良品铺子 - 坚果零食,10209463604428,良品铺子坚果零食礼盒金选礼823g休闲零食甄选礼1077g坚果礼1576g 良品盛宴礼2505g,灵灵七零嘴店,357.8,357.8,100,0,休闲食品,坚果炒货,坚果礼盒,"['免息账期', '包邮']",823.0,0,100
良品铺子 - 坚果零食,10122624357628,良品铺子坚果礼盒肉类零食整箱礼物送女友干果休闲食品小吃 26款坚果【零食归你礼袋】,乐乐甄选店,402.0,402.0,100,7,休闲食品,肉类零食,肉类零食礼包/礼盒,"['免息账期', '包邮']",,0,100
