三级分类,商品数量,品牌数,平均现价,价格中位数,单位价中位数,随机销量总量,评论总量,差评文本量,历史价覆盖
膨化食品礼包/礼盒,853,1,108.42320046893319,81.9,0.0,50213400.0,398560.0,10.0,0.10902696365767878
薯片,709,2,54.40964739069112,38.91,0.30721649484536084,187056500.0,62298463.0,82.0,0.009873060648801129
巧克力制品,703,1,127.86793741109531,104.51,0.0,1580400.0,425550.0,0.0,0.007112375533428165
梅子干,630,5,36.1464126984127,29.35,0.14261904761904762,28829200.0,15792198.0,76.0,0.0
鸡肉类,607,2,106.79774299835256,76.8,0.29577464788732394,18805800.0,12676832.0,76.0,0.0016474464579901153
中式糕点,555,1,75.1725945945946,61.0,0.0376,2593100.0,3.0,0.0,0.007207207207207207
夹心饼干,527,1,73.95421252371916,55.9,0.2575,127705100.0,33004739.0,20.0,0.003795066413662239
棒棒糖,525,2,40.89944761904762,33.91,0.0372,3289600.0,695077.0,0.0,0.0038095238095238095
鸭肉类,508,3,90.94305118110236,81.41,0.2826991907874261,61023200.0,25260697.0,105.0,0.04133858267716536
辣条/面筋制品,474,3,41.96113924050633,35.4,0.057281700500147095,147250612.0,65772050.0,69.0,0.046413502109704644
肉类零食礼包/礼盒,384,3,137.95966145833333,106.5,0.13314149760979513,23295200.0,5485484.0,11.0,0.0625
牛奶巧克力,352,4,131.7109659090909,65.45,0.2004578616352201,89170200.0,45588125.0,157.0,0.0
坚果礼盒,347,2,245.05331412103746,159.0,0.07950928381962866,69564802.0,19431146.0,22.0,0.025936599423631124
喜糖,339,1,58.525427728613565,40.32,0.047,76000.0,6022.0,0.0,0.011799410029498525
奶糖,301,1,71.08970099667773,52.71,0.0,473500.0,4094.0,0.0,0.009966777408637873
粽子,297,2,123.7024579124579,89.0,0.1575,44850700.0,13818573.0,13.0,0.003367003367003367
牛肉类,293,3,145.07481228668942,94.0,0.294,22094700.0,1570930.0,16.0,0.030716723549488054
威化饼干,265,1,68.65203773584906,43.9,0.08125,49907700.0,20331971.0,43.0,0.018867924528301886
酥性饼干,251,1,60.32709163346614,41.86,0.04724999999999999,5563100.0,598440.0,0.0,0.05179282868525897
夹心巧克力,247,2,148.3906882591093,106.47,0.4782608695652174,23775600.0,13385633.0,20.0,0.0
瓜子/葵花籽,245,2,79.76726530612245,34.9,0.1662,54645834.0,28684623.0,43.0,0.0
混合麦片,229,2,75.05227074235809,59.9,0.1257777777777778,47596900.0,32547435.0,55.0,0.0
糖果礼盒,214,2,118.0042523364486,96.1,0.0,111500.0,48231.0,0.0,0.0
混合坚果,209,1,212.68392344497607,143.0,0.15066724063710718,103548000.0,2101143.0,3.0,0.07177033492822966
每日坚果,205,2,124.09053658536585,97.85,0.16126666666666667,65254600.0,41725028.0,38.0,0.004878048780487805
混合巧克力,204,2,112.17617647058823,88.08500000000001,0.14806504065040654,5995100.0,2101031.0,24.0,0.0
其他膨化食品,195,2,57.33810256410256,47.5,0.19904761904761903,272300.0,8140.0,0.0,0.0
硬糖,181,1,155.545635359116,62.8,0.0772,19800.0,2086.0,0.0,0.0055248618784530384
果仁巧克力,180,3,146.79616666666666,112.25,0.14123570575183478,16672000.0,9791896.0,50.0,0.0
黑巧克力,174,2,159.83620689655172,78.11,0.25654421768707486,3720500.0,1643167.0,9.0,0.005747126436781609
软糖,147,1,39.07374149659864,27.5,0.15278666666666668,3051300.0,2024695.0,0.0,0.0
其他糖果,127,1,71.7172440944882,41.9,0.225,24500.0,13381.0,0.0,0.0
豆制品,123,1,75.50227642276424,42.0,0.050800000000000005,1138700.0,21238.0,0.0,0.016260162601626018
喜饼,119,1,63.326470588235296,32.2,0.0,50700.0,128.0,0.0,0.16806722689075632
曲奇饼干,101,1,65.83316831683167,56.87,0.0,2977400.0,600099.0,5.0,0.039603960396039604
其他蜜饯果干,100,2,49.74979999999999,29.17,0.11371043165467626,15752500.0,143705.0,0.0,0.1
其他肉类,95,1,43.288105263157895,29.9,0.04733590733590733,7172500.0,576.0,0.0,0.14736842105263157
饼干礼盒/礼包,95,1,70.92505263157895,30.0,0.0,152500.0,50039.0,0.0,0.0
