row_index,sku,name,action,brand
226,10138660016663,【3006人好评】百事食品奇多妙脆角40g/65g*5/10袋多口味休闲小吃 魔力炭烧味 (大袋)65g*10,updated_alias,奇多
1685,10208782868277,【光合星球】高钙星球杯小馒头巧克力宝宝零食不添加白砂糖 高钙星球杯100g*1桶,updated_alias,光合星球
2062,10104251302767,【热销】芝士薄脆饼干甜咸味小零食办公室休闲零食薄脆咸味 芝士味800g【整箱80包 优惠】,skip_generic,芝士薄脆饼干
2063,10104251302766,【热销】芝士薄脆饼干甜咸味小零食办公室休闲零食薄脆咸味 芝士味150g【整箱15包】,skip_generic,芝士薄脆饼干
2278,10209662258868,【零食大礼包】380g休闲零食辣条素肉毛肚魔芋爽鱼仔组合送人追剧 9款共50包【超划算】,skip_generic,380g休闲
2319,10169958384778,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 金榜题名莲藕酥500g（约45包）,updated_alias,阿Q熊
2320,10169958384774,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 金榜题名棒棒糖500g（约42颗）,updated_alias,阿Q熊
2321,10169958384776,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 逢考必过喜饼500g（约30包）,updated_alias,阿Q熊
2322,10163461772721,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 步步高升果汁软糖500g（约50包）,updated_alias,阿Q熊
2323,10162877218820,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 金榜题名曲奇饼500g约25包,updated_alias,阿Q熊
2324,10162877218821,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 金榜题名软糖500g（约27包）,updated_alias,阿Q熊
2325,10162877218823,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 逢考必过棒棒糖500g（约38颗）,updated_alias,阿Q熊
2326,10162877218824,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 步步高小圆饼500g（约36包）,updated_alias,阿Q熊
2327,10162877218827,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 金榜题名夹心棉花糖500g约62颗,updated_alias,阿Q熊
2328,10159436896110,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 逢考必过棒棒糖500g（约42颗）,updated_alias,阿Q熊
2329,10159436896112,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 锦鲤附体棒棒糖500g约38颗,updated_alias,阿Q熊
2330,10155242311041,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 一举夺魁棒棒糖250g约19颗,updated_alias,阿Q熊
2332,10159436896107,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 前程似锦蔓越莓软糖500g约66颗,updated_alias,阿Q熊
2333,10159436896111,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 金榜题名状元饼500g（约47颗）,updated_alias,阿Q熊
2334,10162877218825,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 前橙似锦爆浆软糖500g（约62颗）,updated_alias,阿Q熊
2335,10169958384777,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 逢考必胜棉花糖500g（约66颗）,updated_alias,阿Q熊
2336,10163461772722,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 步步糕升云片糕500g（约22包）,updated_alias,阿Q熊
2338,10147249938305,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 一举夺魁棒棒糖500g约38颗,updated_alias,阿Q熊
2339,10155242311042,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 一举夺魁棒棒糖1000g约76颗,updated_alias,阿Q熊
2340,10159436896108,阿Q熊一举夺魁金榜题名棒棒糖逢考必过喜糖批发学生励志糖果小零食散装 逢考必过薯片小圆饼500g约36包,updated_alias,阿Q熊
2358,10169076009307,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 前橙似锦爆浆软糖500g（约62颗）,updated_alias,阿Q熊
2359,10169076009308,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 步步高小圆饼500g（约36包）,updated_alias,阿Q熊
2360,10169076009309,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 前程似锦蔓越莓软糖500g（约66颗）,updated_alias,阿Q熊
2361,10169076009310,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 逢考必过薯片小圆饼500g（约36包）,updated_alias,阿Q熊
2362,10169076009311,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 逢考必过棒棒糖500g（约42颗）,updated_alias,阿Q熊
2363,10169076009313,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 金榜题名棒棒糖500g（约42颗）,updated_alias,阿Q熊
2364,10169076009314,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 金榜题名夹心棉花糖500g（约62颗）,updated_alias,阿Q熊
2365,10169076009315,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 一举夺魁棒棒糖500g（约38颗）,updated_alias,阿Q熊
2366,10169076009317,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 逢考必过棒棒糖500g（约38颗）,updated_alias,阿Q熊
2367,10169076009321,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 逢考必胜棉花糖500g（约66颗）,updated_alias,阿Q熊
2368,10169076009322,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 金榜题名莲藕酥500g（约45包）,updated_alias,阿Q熊
2382,10169076009302,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 旺上加旺步步糕500g（约18包）,updated_alias,阿Q熊
2383,10169076009301,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 步步糕升云片糕500g（约22包）,updated_alias,阿Q熊
2384,10169076009306,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 步步高升果汁软糖500g（约50包）,updated_alias,阿Q熊
2385,10169076009316,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 锦鲤附体棒棒糖500g（约38颗）,updated_alias,阿Q熊
2386,10169076009319,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 金榜题名软糖500g（约27包）,updated_alias,阿Q熊
2387,10169076009312,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 金榜题名状元饼500g（约47颗）,updated_alias,阿Q熊
2388,10169076009320,阿Q熊步步高升状元糕金榜题名高考试状元糕升学宴励志小零食批发伴手礼 逢考必过喜饼500g（约30包）,updated_alias,阿Q熊
2400,10179968032739,阿Q熊金榜题名状元饼干奶味曲奇糖果喜饼升学谢师宴散装中高考励志零食 金榜题名莲藕酥500g（约45包）,updated_alias,阿Q熊
2401,10179968032745,阿Q熊金榜题名状元饼干奶味曲奇糖果喜饼升学谢师宴散装中高考励志零食 步步高小圆饼500g（约36包）,updated_alias,阿Q熊
2402,10179968032744,阿Q熊金榜题名状元饼干奶味曲奇糖果喜饼升学谢师宴散装中高考励志零食 旺上加旺步步糕500g（约18包）,updated_alias,阿Q熊
2408,10179968032747,阿Q熊金榜题名状元饼干奶味曲奇糖果喜饼升学谢师宴散装中高考励志零食 金榜题名棒棒糖500g（约42颗）,updated_alias,阿Q熊
2409,10179968032743,阿Q熊金榜题名状元饼干奶味曲奇糖果喜饼升学谢师宴散装中高考励志零食 前橙似锦爆浆软糖500g（约62颗）,updated_alias,阿Q熊
2410,10179968032740,阿Q熊金榜题名状元饼干奶味曲奇糖果喜饼升学谢师宴散装中高考励志零食 金榜题名软糖500g（约27包）,updated_alias,阿Q熊
